team_id,game_date,athlete_id,team_display_name
5,2025-06-17,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 3142086, 4433546, 1004, 3907781, 869]",Indiana Fever
5,2025-06-19,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 3142086, 4433546, 1004, 3907781]",Indiana Fever
5,2025-06-22,"[2529130, 4432831, 3142191, 4398829, 4433403, 3142086, 1004, 3907781, 869, 2955898, 4433546]",Indiana Fever
5,2025-06-24,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 3142086, 1004, 3907781, 869, 4433546]",Indiana Fever
5,2025-06-26,"[2529130, 4432831, 1004, 3142191, 4398829, 3142086, 4433546, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-06-27,"[2529130, 4432831, 3142191, 4066553, 4398829, 4433546, 1004, 3907781, 3142086]",Indiana Fever
5,2025-07-01,"[2529130, 4432831, 3142191, 4066553, 4398829, 3142086, 4433546, 1004, 3907781, 4433403]",Indiana Fever
5,2025-07-03,"[2529130, 4432831, 3142191, 4066553, 4398829, 3142086, 4433546, 1004, 3907781, 4433403]",Indiana Fever
5,2025-07-05,"[2529130, 4432831, 3142191, 4066553, 4398829, 4433546, 1004, 3907781, 3142086, 4433403]",Indiana Fever
5,2025-07-09,"[2529130, 4432831, 3142191, 4066553, 4433403, 2955898, 4433546, 1004, 3907781, 4398829, 3142086]",Indiana Fever
5,2025-07-11,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 1004, 3907781, 4066553, 3142086, 4433546]",Indiana Fever
5,2025-07-13,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 3142086, 4433546, 1004, 3907781, 4066553]",Indiana Fever
5,2025-07-15,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 4433546, 1004, 3907781, 4066553, 3142086]",Indiana Fever
5,2025-07-16,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 4433546, 1004, 4398829, 3142086, 4433403]",Indiana Fever
5,2025-07-22,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 1004, 4398829, 3142086, 4433546, 4433403]",Indiana Fever
5,2025-07-24,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 4433546, 1004, 4398829, 3142086, 4433403]",Indiana Fever
5,2025-07-27,"[2529130, 4432831, 3142191, 3907781, 4066553, 4280877, 4433546, 1004, 4398829, 2955898, 3142086, 4433403]",Indiana Fever
5,2025-07-30,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 4280877, 4433546, 1004, 4398829, 3142086, 4433403]",Indiana Fever
5,2025-08-01,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 4280877, 4433546, 1004, 4398829, 3142086]",Indiana Fever
5,2025-08-03,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 4280877, 1004, 4398829, 3142086, 4433546, 4433403]",Indiana Fever
5,2025-08-05,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 4280877, 4433546, 1004, 4398829, 3142086, 4433403]",Indiana Fever
5,2025-08-07,"[2529130, 4432831, 3142191, 3907781, 4066553, 2955898, 3142086, 4280877, 4433546, 1004, 4398829, 4433403]",Indiana Fever
5,2025-08-09,"[2529130, 4432831, 3142191, 3907781, 4398829, 2955898, 3142086, 4280877, 4433546, 1004, 4066553, 4433403]",Indiana Fever
5,2025-08-12,"[2529130, 4432831, 3142191, 3907781, 4398829, 2955898, 3142086, 4280877, 4433546, 2529047, 1004, 4066553, 4433403]",Indiana Fever
5,2025-08-15,"[2529130, 4432831, 3142191, 3907781, 4398829, 2955898, 4433546, 2529047, 3142086, 4280877, 1004, 3904548, 4066553, 4433403]",Indiana Fever
5,2025-08-17,"[2529130, 4432831, 2529047, 3142191, 3907781, 2955898, 3142086, 4280877, 4433546, 3904548, 4398829, 1004, 4066553, 4433403]",Indiana Fever
5,2025-08-22,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 4433546, 1107, 4280877, 1004, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-08-24,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 4433546, 1107, 2999035, 4280877, 1004, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-08-26,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 4433546, 1107, 2999035, 4280877, 1004, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-08-29,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 1107, 2999035, 4280877, 4433546, 1004, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-08-31,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 1107, 2999035, 4433546]",Indiana Fever
5,2025-09-02,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 1107, 2999035, 4280877, 4433546, 1004, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-09-05,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 4433546, 1107, 2999035, 4280877, 1004, 3907781, 4066553, 4433403, 4898383]",Indiana Fever
5,2025-09-07,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 4433546, 1107, 2999035, 4898383, 4280877, 1004, 3907781, 4066553, 4433403]",Indiana Fever
5,2025-09-09,"[2529130, 4432831, 2529047, 3142191, 4398829, 2955898, 3142086, 4433546, 1107, 2999035, 4280877, 1004, 3907781, 4066553, 4433403, 4898383]",Indiana Fever
5,2025-09-14,"[2529130, 4432831, 2529047, 3142191, 4398829, 3142086, 4433546, 1107, 2999035, 4898383]",Indiana Fever
6,2024-05-15,"[2566106, 4433404, 2490794, 3058892, 3142327, 3099736, 4433630, 4422426, 4066553, 4398764, 4432832]",Los Angeles Sparks
6,2024-05-18,"[2566106, 4433404, 2490794, 3058892, 3142327, 3099736, 4433630, 4422426, 4066553, 4432832]",Los Angeles Sparks
6,2024-05-21,"[2566106, 4433404, 2490794, 3058892, 3142327, 3099736, 4433630, 4422426, 4066553, 4432832, 4398764]",Los Angeles Sparks
6,2024-05-24,"[2566106, 4433404, 2490794, 3058892, 3142327, 3099736, 4433630, 4422426, 4066553, 4432832, 4398764]",Los Angeles Sparks
6,2024-05-26,"[2566106, 4433404, 2490794, 3058892, 3142327, 3099736, 4433630, 4422426, 4066553, 4398764, 4432832]",Los Angeles Sparks
6,2024-05-28,"[2566106, 4433404, 4433630, 3058892, 3142327, 3099736, 4422426, 4066553, 4398764, 4432832, 3142010, 2490794]",Los Angeles Sparks
6,2024-05-30,"[2566106, 4433404, 4433630, 3058892, 3142327, 3099736, 4422426, 4066553, 4398764, 4432832, 3142010, 2490794]",Los Angeles Sparks
6,2024-06-02,"[2566106, 4433404, 4433630, 3058892, 3142327, 3099736, 4422426, 4066553, 4398764, 4432832, 3142010, 2490794]",Los Angeles Sparks
6,2024-06-05,"[2566106, 4433404, 4433630, 2490794, 3142327, 3099736, 4422426, 3058892, 4066553, 4398764, 4432832]",Los Angeles Sparks
6,2024-06-07,"[2566106, 4433404, 4433630, 2490794, 3142327, 3099736, 4422426, 3058892, 4066553, 4398764, 4432832]",Los Angeles Sparks
6,2024-06-09,"[2566106, 4433404, 4433630, 2490794, 3142327, 3099736, 4422426, 3058892, 4066553, 4398764, 4432832]",Los Angeles Sparks
6,2024-06-11,"[2566106, 4433404, 4433630, 2490794, 3142327, 3099736, 4422426, 3058892, 4066553, 4398764, 4432832, 3142010]",Los Angeles Sparks
6,2024-06-14,"[2566106, 4433404, 4433630, 2490794, 3142327, 3099736, 4422426, 3058892, 4066553, 4398764, 3142010, 4432832]",Los Angeles Sparks
