,id,home_team,away_team,home_team_abv,away_team_abv,datetime
106,1022400107, Minnesota Lynx,Chicago Sky,MIN,CHI,2024-06-30T15:00:00.000Z
107,1022400108, Indiana Fever,Phoenix Mercury,IND,PHX,2024-06-30T15:00:00.000Z
108,1022400109, Connecticut Sun,Phoenix Mercury,CON,PHX,2024-07-01T15:00:00.000Z
109,1022400110, Dallas Wings,Seattle Storm,DAL,SEA,2024-07-01T15:00:00.000Z
110,1022400111, Minnesota Lynx,New York Liberty,MIN,NYL,2024-07-02T15:00:00.000Z
111,1022400112, Chicago Sky,Atlanta Dream,CHI,ATL,2024-07-02T15:00:00.000Z
112,1022400113, Indiana Fever,Las Vegas Aces,IND,LVA,2024-07-02T15:00:00.000Z
113,1022400114, Washington Mystics,Los Angeles Sparks,WAS,LAS,2024-07-02T15:00:00.000Z
114,1022400115, Phoenix Mercury,Dallas Wings,PHX,DAL,2024-07-03T15:00:00.000Z
115,1022400116, Connecticut Sun,Minnesota Lynx,CON,MIN,2024-07-04T15:00:00.000Z
116,1022400117, Washington Mystics,Las Vegas Aces,WAS,LVA,2024-07-04T15:00:00.000Z
117,1022400118, Atlanta Dream,Dallas Wings,ATL,DAL,2024-07-05T15:00:00.000Z
118,1022400119, Las Vegas Aces,Los Angeles Sparks,LVA,LAS,2024-07-05T15:00:00.000Z
119,1022400120, Chicago Sky,Seattle Storm,CHI,SEA,2024-07-05T15:00:00.000Z
120,1022400121, New York Liberty,Indiana Fever,NYL,IND,2024-07-06T15:00:00.000Z
121,1022400122, Washington Mystics,Minnesota Lynx,WAS,MIN,2024-07-06T15:00:00.000Z
122,1022400123, Atlanta Dream,Connecticut Sun,ATL,CON,2024-07-07T15:00:00.000Z
123,1022400124, Dallas Wings,Las Vegas Aces,DAL,LVA,2024-07-07T15:00:00.000Z
124,1022400125, Chicago Sky,Seattle Storm,CHI,SEA,2024-07-07T15:00:00.000Z
125,1022400126, Phoenix Mercury,Los Angeles Sparks,PHX,LAS,2024-07-07T15:00:00.000Z
126,1022400127, Minnesota Lynx,Los Angeles Sparks,MIN,LAS,2024-07-09T15:00:00.000Z
127,1022400128, New York Liberty,Connecticut Sun,NYL,CON,2024-07-10T15:00:00.000Z
128,1022400129, Washington Mystics,Indiana Fever,WAS,IND,2024-07-10T15:00:00.000Z
129,1022400130, Atlanta Dream,Chicago Sky,ATL,CHI,2024-07-10T15:00:00.000Z
130,1022400131, Las Vegas Aces,Seattle Storm,LVA,SEA,2024-07-10T15:00:00.000Z
131,1022400132, Dallas Wings,Phoenix Mercury,DAL,PHX,2024-07-10T15:00:00.000Z
132,1022400133, Chicago Sky,New York Liberty,CHI,NYL,2024-07-11T15:00:00.000Z
133,1022400134, Las Vegas Aces,Atlanta Dream,LVA,ATL,2024-07-12T15:00:00.000Z
134,1022400135, Phoenix Mercury,Indiana Fever,PHX,IND,2024-07-12T15:00:00.000Z
135,1022400136, Minnesota Lynx,Seattle Storm,MIN,SEA,2024-07-12T15:00:00.000Z
136,1022400137, New York Liberty,Chicago Sky,NYL,CHI,2024-07-13T15:00:00.000Z
137,1022400138, Los Angeles Sparks,Dallas Wings,LAS,DAL,2024-07-13T15:00:00.000Z
138,1022400139, Phoenix Mercury,Connecticut Sun,PHX,CON,2024-07-14T15:00:00.000Z
139,1022400140, Las Vegas Aces,Washington Mystics,LVA,WAS,2024-07-14T15:00:00.000Z
140,1022400141, Atlanta Dream,Seattle Storm,ATL,SEA,2024-07-14T15:00:00.000Z
141,1022400142, Indiana Fever,Minnesota Lynx,IND,MIN,2024-07-14T15:00:00.000Z
142,1022400143, Phoenix Mercury,Washington Mystics,PHX,WAS,2024-07-16T15:00:00.000Z
143,1022400144, Seattle Storm,Los Angeles Sparks,SEA,LAS,2024-07-16T15:00:00.000Z
144,1022400145, Connecticut Sun,New York Liberty,CON,NYL,2024-07-16T15:00:00.000Z
145,1022400146, Chicago Sky,Las Vegas Aces,CHI,LVA,2024-07-16T15:00:00.000Z
146,1022400147, Atlanta Dream,Minnesota Lynx,ATL,MIN,2024-07-17T15:00:00.000Z
147,1022400148, Indiana Fever,Dallas Wings,IND,DAL,2024-07-17T15:00:00.000Z
148,1022400149, Phoenix Mercury,Chicago Sky,PHX,CHI,2024-08-15T15:00:00.000Z
149,1022400150, Washington Mystics,Minnesota Lynx,WAS,MIN,2024-08-15T15:00:00.000Z
150,1022400151, New York Liberty,Los Angeles Sparks,NYL,LAS,2024-08-15T15:00:00.000Z
151,1022400152, Seattle Storm,Atlanta Dream,SEA,ATL,2024-08-16T15:00:00.000Z
152,1022400153, Phoenix Mercury,Indiana Fever,PHX,IND,2024-08-16T15:00:00.000Z
153,1022400154, Connecticut Sun,Dallas Wings,CON,DAL,2024-08-16T15:00:00.000Z
154,1022400155, Minnesota Lynx,Washington Mystics,MIN,WAS,2024-08-17T15:00:00.000Z
155,1022400156, New York Liberty,Las Vegas Aces,NYL,LVA,2024-08-17T15:00:00.000Z
156,1022400157, Chicago Sky,Los Angeles Sparks,CHI,LAS,2024-08-17T15:00:00.000Z
157,1022400158, Connecticut Sun,Atlanta Dream,CON,ATL,2024-08-18T15:00:00.000Z
158,1022400159, Los Angeles Sparks,Las Vegas Aces,LAS,LVA,2024-08-18T15:00:00.000Z
159,1022400160, Seattle Storm,Indiana Fever,SEA,IND,2024-08-18T15:00:00.000Z
160,1022400161, Chicago Sky,Phoenix Mercury,CHI,PHX,2024-08-18T15:00:00.000Z
161,1022400162, Los Angeles Sparks,Connecticut Sun,LAS,CON,2024-08-20T15:00:00.000Z
162,1022400163, Dallas Wings,New York Liberty,DAL,NYL,2024-08-20T15:00:00.000Z
163,1022400164, Seattle Storm,Washington Mystics,SEA,WAS,2024-08-20T15:00:00.000Z
164,1022400165, Phoenix Mercury,Atlanta Dream,PHX,ATL,2024-08-21T15:00:00.000Z
165,1022400166, Minnesota Lynx,Las Vegas Aces,MIN,LVA,2024-08-21T15:00:00.000Z
166,1022400167, Dallas Wings,New York Liberty,DAL,NYL,2024-08-22T15:00:00.000Z
167,1022400168, Phoenix Mercury,Atlanta Dream,PHX,ATL,2024-08-23T15:00:00.000Z
168,1022400169, Chicago Sky,Connecticut Sun,CHI,CON,2024-08-23T15:00:00.000Z
169,1022400170, Los Angeles Sparks,Washington Mystics,LAS,WAS,2024-08-23T15:00:00.000Z
170,1022400171, Las Vegas Aces,Minnesota Lynx,LVA,MIN,2024-08-23T15:00:00.000Z
171,1022400172, Connecticut Sun,New York Liberty,CON,NYL,2024-08-24T15:00:00.000Z
172,1022400173, Indiana Fever,Minnesota Lynx,IND,MIN,2024-08-24T15:00:00.000Z
173,1022400174, Las Vegas Aces,Chicago Sky,LVA,CHI,2024-08-25T15:00:00.000Z
174,1022400175, Los Angeles Sparks,Dallas Wings,LAS,DAL,2024-08-25T15:00:00.000Z
175,1022400176, Indiana Fever,Atlanta Dream,IND,ATL,2024-08-26T15:00:00.000Z
176,1022400177, New York Liberty,Phoenix Mercury,NYL,PHX,2024-08-26T15:00:00.000Z
177,1022400178, Washington Mystics,Seattle Storm,WAS,SEA,2024-08-26T15:00:00.000Z
178,1022400179, Las Vegas Aces,Dallas Wings,LVA,DAL,2024-08-27T15:00:00.000Z
179,1022400180, Connecticut Sun,Indiana Fever,CON,IND,2024-08-28T15:00:00.000Z
180,1022400181, Washington Mystics,Chicago Sky,WAS,CHI,2024-08-28T15:00:00.000Z
181,1022400182, New York Liberty,Los Angeles Sparks,NYL,LAS,2024-08-28T15:00:00.000Z
182,1022400183, Minnesota Lynx,Phoenix Mercury,MIN,PHX,2024-08-28T15:00:00.000Z
183,1022400184, Atlanta Dream,Seattle Storm,ATL,SEA,2024-08-28T15:00:00.000Z
184,1022400185, Indiana Fever,Chicago Sky,IND,CHI,2024-08-30T15:00:00.000Z
185,1022400186, Minnesota Lynx,Dallas Wings,MIN,DAL,2024-08-30T15:00:00.000Z
186,1022400187, Atlanta Dream,Las Vegas Aces,ATL,LVA,2024-08-30T15:00:00.000Z
187,1022400188, New York Liberty,Seattle Storm,NYL,SEA,2024-08-30T15:00:00.000Z
188,1022400189, Connecticut Sun,Washington Mystics,CON,WAS,2024-08-31T15:00:00.000Z
189,1022400190, Seattle Storm,Connecticut Sun,SEA,CON,2024-09-01T15:00:00.000Z
190,1022400191, Chicago Sky,Minnesota Lynx,CHI,MIN,2024-09-01T15:00:00.000Z
191,1022400192, Indiana Fever,Dallas Wings,IND,DAL,2024-09-01T15:00:00.000Z
192,1022400193, Atlanta Dream,Los Angeles Sparks,ATL,LAS,2024-09-01T15:00:00.000Z
193,1022400194, Las Vegas Aces,Phoenix Mercury,LVA,PHX,2024-09-01T15:00:00.000Z
194,1022400195, Seattle Storm,Connecticut Sun,SEA,CON,2024-09-03T15:00:00.000Z
195,1022400196, Washington Mystics,Dallas Wings,WAS,DAL,2024-09-03T15:00:00.000Z
196,1022400197, Chicago Sky,Las Vegas Aces,CHI,LVA,2024-09-03T15:00:00.000Z
197,1022400198, Atlanta Dream,Phoenix Mercury,ATL,PHX,2024-09-03T15:00:00.000Z
198,1022400199, Los Angeles Sparks,Indiana Fever,LAS,IND,2024-09-04T15:00:00.000Z
199,1022400200, Seattle Storm,New York Liberty,SEA,NYL,2024-09-05T15:00:00.000Z
200,1022400201, Washington Mystics,Phoenix Mercury,WAS,PHX,2024-09-05T15:00:00.000Z
201,1022400202, Dallas Wings,Atlanta Dream,DAL,ATL,2024-09-06T15:00:00.000Z
202,1022400203, Las Vegas Aces,Connecticut Sun,LVA,CON,2024-09-06T15:00:00.000Z
203,1022400204, Minnesota Lynx,Indiana Fever,MIN,IND,2024-09-06T15:00:00.000Z
204,1022400205, Los Angeles Sparks,Chicago Sky,LAS,CHI,2024-09-06T15:00:00.000Z
205,1022400206, Phoenix Mercury,Seattle Storm,PHX,SEA,2024-09-07T15:00:00.000Z
206,1022400207, Minnesota Lynx,Washington Mystics,MIN,WAS,2024-09-08T15:00:00.000Z
207,1022400208, Atlanta Dream,Indiana Fever,ATL,IND,2024-09-08T15:00:00.000Z
208,1022400209, Las Vegas Aces,New York Liberty,LVA,NYL,2024-09-08T15:00:00.000Z
209,1022400210, Dallas Wings,Chicago Sky,DAL,CHI,2024-09-08T15:00:00.000Z
210,1022400211, Connecticut Sun,Los Angeles Sparks,CON,LAS,2024-09-08T15:00:00.000Z
211,1022400212, Minnesota Lynx,Atlanta Dream,MIN,ATL,2024-09-10T15:00:00.000Z
212,1022400213, New York Liberty,Dallas Wings,NYL,DAL,2024-09-10T15:00:00.000Z
213,1022400214, Connecticut Sun,Los Angeles Sparks,CON,LAS,2024-09-10T15:00:00.000Z
214,1022400215, Las Vegas Aces,Indiana Fever,LVA,IND,2024-09-11T15:00:00.000Z
215,1022400216, Washington Mystics,Chicago Sky,WAS,CHI,2024-09-11T15:00:00.000Z
216,1022400217, Seattle Storm,Los Angeles Sparks,SEA,LAS,2024-09-11T15:00:00.000Z
217,1022400218, New York Liberty,Dallas Wings,NYL,DAL,2024-09-12T15:00:00.000Z
218,1022400219, Washington Mystics,Atlanta Dream,WAS,ATL,2024-09-13T15:00:00.000Z
219,1022400220, Las Vegas Aces,Indiana Fever,LVA,IND,2024-09-13T15:00:00.000Z
220,1022400221, Seattle Storm,Dallas Wings,SEA,DAL,2024-09-13T15:00:00.000Z
221,1022400222, Chicago Sky,Minnesota Lynx,CHI,MIN,2024-09-13T15:00:00.000Z
222,1022400223, Connecticut Sun,Phoenix Mercury,CON,PHX,2024-09-13T15:00:00.000Z
223,1022400224, Dallas Wings,Indiana Fever,DAL,IND,2024-09-15T15:00:00.000Z
224,1022400225, Minnesota Lynx,New York Liberty,MIN,NYL,2024-09-15T15:00:00.000Z
225,1022400226, Atlanta Dream,Washington Mystics,ATL,WAS,2024-09-15T15:00:00.000Z
226,1022400227, Phoenix Mercury,Chicago Sky,PHX,CHI,2024-09-15T15:00:00.000Z
227,1022400228, Connecticut Sun,Las Vegas Aces,CON,LVA,2024-09-15T15:00:00.000Z
228,1022400229, Los Angeles Sparks,Seattle Storm,LAS,SEA,2024-09-15T15:00:00.000Z
229,1022400230, Minnesota Lynx,Connecticut Sun,MIN,CON,2024-09-17T15:00:00.000Z
230,1022400231, New York Liberty,Washington Mystics,NYL,WAS,2024-09-17T15:00:00.000Z
231,1022400232, Chicago Sky,Atlanta Dream,CHI,ATL,2024-09-17T15:00:00.000Z
232,1022400233, Phoenix Mercury,Los Angeles Sparks,PHX,LAS,2024-09-17T15:00:00.000Z
233,1022400234, Las Vegas Aces,Seattle Storm,LVA,SEA,2024-09-17T15:00:00.000Z
234,1022400235, Chicago Sky,Connecticut Sun,CHI,CON,2024-09-19T15:00:00.000Z
