,play-team-vtm-link,play-team-vtm,quarter,time,score,neutral,play-team-htm-link,play-team-htm,play-team-vtm-video-url,play-team-htm-video-url
128,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=200&Season=2025&title=Charles Lost Ball Turnover (P1.T3)&SeasonType=Regular Season&LeagueID=10,Charles Lost Ball Turnover (P1.T3),2,6:38,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/200/1df787cd-dcbe-4046-774d-aea70a744531_1280x720.mp4,
129,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=201&Season=2025&title=Brown L.B.FOUL (P2.T2)&SeasonType=Regular Season&LeagueID=10,Brown L.B.FOUL (P2.T2),2,6:38,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/201/6e5db3cd-507f-040c-4d4f-0d72121a7ad8_1280x720.mp4,
130,,,2,6:24,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=203&Season=2025&title=MISS Mitchell 3PT Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Mitchell 3PT Jump Shot,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/203/e1bb819f-60d7-132f-b103-e6454807ed75_1280x720.mp4
131,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=204&Season=2025&title=Charles REBOUND (Off:0 Def:1)&SeasonType=Regular Season&LeagueID=10,Charles REBOUND (Off:0 Def:1),2,6:21,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/204/7eb97429-7499-7dd2-0aa3-9ecfb088b936_1280x720.mp4,
132,,,2,6:12,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=205&Season=2025&title=Howard P.FOUL (P3.T2)&SeasonType=Regular Season&LeagueID=10,Howard P.FOUL (P3.T2),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/205/143a9915-6f9d-98e8-d3fd-b2f5afe6901f_1280x720.mp4
133,,,2,6:12,,,,,,
134,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=209&Season=2025&title=Hartley 16' Pullup Jump Shot (2 PTS)&SeasonType=Regular Season&LeagueID=10,Hartley 16' Pullup Jump Shot (2 PTS),2,6:06,29 - 31,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/209/fe7a9486-1813-a70c-bcb4-7cd0df3e8de5_1280x720.mp4,
135,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=210&Season=2025&title=Brown BLOCK (1 BLK)&SeasonType=Regular Season&LeagueID=10,Brown BLOCK (1 BLK),2,5:46,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=210&Season=2025&title=MISS Cunningham 2' Layup&SeasonType=Regular Season&LeagueID=10,MISS Cunningham 2' Layup,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/210/0bd0dd8f-e6f4-6607-51dc-e3265146d9e8_1280x720.mp4,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/210/0bd0dd8f-e6f4-6607-51dc-e3265146d9e8_1280x720.mp4
136,,,2,5:46,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=211&Season=2025&title=Cunningham REBOUND (Off:1 Def:2)&SeasonType=Regular Season&LeagueID=10,Cunningham REBOUND (Off:1 Def:2),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/211/4155887b-97e5-c02d-7f3b-6b8c292e92d3_1280x720.mp4
137,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=212&Season=2025&title=Charles BLOCK (1 BLK)&SeasonType=Regular Season&LeagueID=10,Charles BLOCK (1 BLK),2,5:46,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=212&Season=2025&title=MISS Cunningham 1' Putback Layup&SeasonType=Regular Season&LeagueID=10,MISS Cunningham 1' Putback Layup,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/212/1b04d7c3-94bc-281b-a2ad-3ae70f2a8270_1280x720.mp4,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/212/1b04d7c3-94bc-281b-a2ad-3ae70f2a8270_1280x720.mp4
138,,,2,5:45,,,,,,
139,,,2,5:45,,,,,,
140,,,2,5:45,,,,,,
141,,,2,5:43,29 - 33,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=220&Season=2025&title=Dantas 1' Cutting Layup Shot (2 PTS) (Clark 4 AST)&SeasonType=Regular Season&LeagueID=10,Dantas 1' Cutting Layup Shot (2 PTS) (Clark 4 AST),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/220/facafb60-ff0d-9f6f-e818-77eb7af1b69d_1280x720.mp4
142,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=222&Season=2025&title=MISS Hartley 21' Pullup Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Hartley 21' Pullup Jump Shot,2,5:27,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/222/85c9509e-6d5f-34bb-1cd1-4c1226a540b6_1280x720.mp4,
143,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=223&Season=2025&title=Charles REBOUND (Off:1 Def:1)&SeasonType=Regular Season&LeagueID=10,Charles REBOUND (Off:1 Def:1),2,5:25,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/223/5cb9ae45-cfa7-0b8a-f873-f6ae35ed9374_1280x720.mp4,
144,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=224&Season=2025&title=Charles 1' Putback Layup (12 PTS)&SeasonType=Regular Season&LeagueID=10,Charles 1' Putback Layup (12 PTS),2,5:24,31 - 33,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/224/e27b4849-5742-9aca-9527-7dcc9b7af243_1280x720.mp4,
145,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=225&Season=2025&title=Rivers P.FOUL (P1.T3)&SeasonType=Regular Season&LeagueID=10,Rivers P.FOUL (P1.T3),2,5:15,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/225/238d0bfc-56b5-b9d9-ac84-fe18ce809bf4_1280x720.mp4,
146,,,2,5:15,,,,,,
147,,,2,5:07,31 - 36,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=229&Season=2025&title=Clark 25' 3PT Step Back Jump Shot (9 PTS)&SeasonType=Regular Season&LeagueID=10,Clark 25' 3PT Step Back Jump Shot (9 PTS),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/229/c8c3024e-fbac-00fb-1734-cea0b3384329_1280x720.mp4
148,,,2,4:45,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=230&Season=2025&title=Mitchell S.FOUL (P1.T3)&SeasonType=Regular Season&LeagueID=10,Mitchell S.FOUL (P1.T3),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/230/7c7b87a1-caea-bbc4-b856-554d9c6e9f71_1280x720.mp4
149,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=232&Season=2025&title=Morrow T.FOUL (P0.T3)&SeasonType=Regular Season&LeagueID=10,Morrow T.FOUL (P0.T3),2,4:45,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/232/f76d14f9-ef39-41f0-8ec9-8a6f48b586ad_1280x720.mp4,
150,,,2,4:45,31 - 37,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=233&Season=2025&title=Clark Free Throw Technical (10 PTS)&SeasonType=Regular Season&LeagueID=10,Clark Free Throw Technical (10 PTS),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/233/aaa11e5b-28e7-6b2e-ee0c-0716dabb3933_1280x720.mp4
151,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=234&Season=2025&title=Charles Free Throw 1 of 2 (13 PTS)&SeasonType=Regular Season&LeagueID=10,Charles Free Throw 1 of 2 (13 PTS),2,4:45,32 - 37,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/234/9ddd48fa-77df-88a4-b8fd-6ffdcd87c267_1280x720.mp4,
152,,,2,4:45,,,,,,
153,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=237&Season=2025&title=Charles Free Throw 2 of 2 (14 PTS)&SeasonType=Regular Season&LeagueID=10,Charles Free Throw 2 of 2 (14 PTS),2,4:45,33 - 37,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/237/0a9d32b2-4f3f-7d97-be5a-8d053a1b85e7_1280x720.mp4,
